id,description,name,host_id
187870,"The top floor of our house in the center of Ghent is a tastefully and practically furnished studio with a separate sleeping area, sitting area, dining area and kitchenette. There is a private bathroom with rain shower. The studio is equipped with all amenities and comfort.  The space The studio occupies the entire top floor (2nd floor) of our house. The space is comfortable and tastefully decorated with an eye for detail. You have a separate bathroom with shower and sink. Shower gel, soap, shampoo, hairdryer and care products are provided. There is a kitchenette with microwave and refrigerator in the studio. You have a Nespresso machine, kettle, egg cooker, milk foam maker, coffee and Nespresso coffee cups and tea. A double bed with quality mattress (memory foam such as the Tempur brand) ensures that you enjoy a wonderful night's sleep. There is a smart television with Chromecast and Netflix in the sleeping area. You can use the music system including a recor",Luxury studio 'Spiegelhof' in the centre of Ghent,904277
203806,"This well-located and comfortable one-bedroom flat on the ground floor of a city house allows you to discover Ghent at ease, whether you come by train or car. The heart of the city is at walking distance while you sleep in a quiet street.  The space Within the city-centre of Ghent - 5 min walk from the main railway station Sint-Pieters, nearby musea (SMAK, STAM, De Bijloke) or a 15 min walk to the Graslei, Korenmarkt, you can rent a beautifully renovated ground-floor flat in a city-house.  I am the owner of the house and we live on the second and third floor of the house. This makes it easy in case you have questions and also for the check-in and check-out.  Guest access The flat is easily accessible for everyone as it is on the ground floor. You will have your own private kitchen with laundry facilities, a comfortable bedroom with direct access to the garden and a spacious bathroom with a dressing, cloth-hangers, and all bathroom n",Flat close to Sint-Pieters Station!,999847
204245,"The space We offer luxury studio's, a penthouse suite with terrace and a 2-bed room apartment for rent on short term in the historical city centre of Ghent.  All accommodation is fully furnished and equipped with all modern comfort:  Double bed ; Dining corner & kitchen with microwave, grill fridge & freezer ; Lounge area with flat screen tv & wifi internet access; Personal bathroom with shower; Individual central heating; Videophone.  We are located in the historical heart of the city centre of Ghent. The city centre of Ghent is pedestrian area - traffic free - but our studio's & penthouse can be reached by car with parking on the square or in the underground parking of the Vrijdagmarkt.     Ideal for discovering Ghent on foot:   Within 2 min walk to historical sights with its churches, squares, medieval architecture, musea, shops & restaurants:   200m Vrijdagmarkt with its bars & restaurants   500m Korenmarkt at the intersection of ",Modern studio's in Ghent centre,1003009
216715,"Please read full desription for how to get there, parking and other details.  The space Welcome to Ghent...(please click on ¨more¨ for full description of Loft etc)  This is a city and a municipality located in the Flemish region of Belgium.  It is the capital and also the largest city of the East Flanders province.     This is the top floor of a house in the centre of the historical city.  First level of the apartment is a private shower toilet & wardrobe, upstairs there is a kitchenette with fridge, microwave,  a 2 ring electrical cooker, we provide tea, milk coffee  some eggs, juice, yogurt, bread, cookies etc. There is tv and wifi internet. Of course we provide the needed bedding beds and towels. I will give you the key on your appointed arrival time.  The flat has a great location: walking a short distance to all the interesting things you will want see in the city.  My wife and I love to welcom",converted loft,911466
252269,"bright, spacious, authentic & beautifully restaured townhouse in the center of ghent. close to the historical  & actual hightlights and most trending places :) Quiet and creative area, close to small local shops, fresh markets, city supermarkets, bakeries, restaurants, coffee bars, authentic very local pubs. public transport 3' walking distance  The space This house is available for 2 to 8 people. Feel free to inform for special rates for 2guests/1 bedroom. you still have access to the entire house, except the 2 bedrooms and bathroom on the third floor.  Restored concierge house build around 1850, with period features such as high ceilings, parquet flooring and marble chimneys. The house is spacious and bright and located in the center of Ghent.  Facilities: Wifi - High speed internet (orange formule LOVE) Grand living room, Fully equipped kitchen.  Ground Floor Entrance Hallway with space to store bicycles <b",Large & bright town House - Center Ghent - max 8p,1195314
440798,"We've got a great apartment that we've recently completely refurbished. We're sure you'll feel right at home, just like us. It has lots of plants, vintage, design, bright spaces, books and art.  It's big and the livingroom has sweeping views over the canal. Come and enjoy Ghent from our lovely home.  The space We've got a great apartment that we've recently completely refurbished. We're sure you'll feel right at home, just like us. It has lots of plants, vintage design, bright spaces, books and art.   The living room is big, bright and comfortable, with lovely views over the canal. There's a flatscreen, sound bar, Netflix and place to lounge, dine and read.   The bedroom has been recently redone and features an king size bed, great artworks and a place to work or get some e-mails done. (new all natural mattresses, blankets and pillows!)   The bathroom may be small, but is clean, modern and comfortable. You'll find clean towels wa","Big and bright, design savvy with great views!",2188943
476371,"Only a short walk to the old city center and close to several of Ghent's beautiful parks.   There is parking near the house and bike rental options.  Although the house is located in a very vivid area of town, you can enjoy the peacefulness and quietness at all times as the rooms are located in the back of the house, with a view of the large garden.   Also a little escape to the terrace or the garden are an excellent choice after a busy day of visiting the centre.  The space I started the renovation of this 19th century house in 2011. Although still ongoing, most works are finished and I am renting out this room, with one double bed. If needed, an extra mattress can be provided so it would fit up to 3 guests. For kids I can put two extra mattresses. We could do this as well for adults but we do not allow party people to stay in the house since some of us are working during the weekends as well, so we prefer quiet guests.  Th",Private room in a 19th century house near station.,996824
565472,"Large 17th century house with original features on the outskirts of the town of Ghent.  The space First floor: Spacious livingroom (40m2) + fully equiped kitchen + terrace  Second floor: bedroom (18m2) + bathroom (bath+ showercurtain) / toilet  Third floor: bedroom (24m2)  Guest access The house is easily reachable with public transport and is at five minutes walking distance from the center. There are many shops, restaurants and pubs in the neighbourhood.",Large house for short term rental,879188
599325,"The space My house is in a quiet street but only walking distance from the center of Ghent. Public transport is close by. Check in is flexible, just ask for it when you make your reservation.  You will have a separate room on the secondfloor. I have wireless internet available. I hope you're not allergic to dogs, because I have one little perky Border Collie mut.   The price for one night is about the price for a couple of Irish Coffees per person.  If you like, you can add a tip in my 'tip-can' as I explain in my profile so you can spend what you think it was worth and what you can afford.   Check in on weekdays is between 18 and 20 o'clock and in weekends preferably before 12 o'clock. Feel free to ask for deviations as soon as possible so we can check what suits best for the both of us.  I would like you to follow the house rules: smoking is on the terrace, follow the principle clean as you go (I have a dishwasher) and turn the",Ghent! Need I say more?,2964980
696209,"This is a new self-catered studio situated in a hip upcoming neighbourhood of the center of Ghent.  Ideal for 1 person or couple.  Erasmus or PHD student.   With private kitchen and bathroom (shower, toilet, lavabo).  Fully furnished and equipped kitchen.  The space This is a new self-catered studio in the center of Ghent. Windows in the front and the back.  Fully equipped kitchen with fridge, combi-oven, ceramic hob and coffee machine.  The bathroom is equipped with lavabo, toilet and big shower 85 x 120.  The big desk makes it possible to do some office work. The studio remains always spacious because of the smart bed solution.  Ideal for a touristic, educational or business stay for short or lang term.  Please feel free to contact us if you have any questions  Guest access The studio is on the first floor.  There is a bike storage room on the ground floor. There ar 6 studio's in the building. Two on ",Black & White studioB central Ghent,1328011
